,product_name,price,detail,year_purchase
167,VESTIDO VOLANTES PATCHWORK,"50,00 EUR",['Nuevo con etiquetas'], 
168,BANDOLERA TEJIDO SATINADO,"20,00 EUR",['Nuevo con etiquetas'], 
169,CAZADORA CORTA DENIM,"25,00 EUR",['Como nuevo'], 2023
170,ZAPATO DESTALONADO KITTEN,"10,00 EUR",['Nuevo con etiquetas'], 2023
171,JEANS TRF RECTOS TIRO ALTO,"12,00 EUR",['Nuevo con etiquetas'], 2023
172,BLAZER TERCIOPELO ESTAMPADO ANIMAL,"29,95 EUR",['Como nuevo'], 
173,TOP PLISADO HOMBRERAS,"4,5 EUR",['Satisfactorio'], 
174,PANTALÓN MINI FLARE ESTAMPADO ANIMAL,"20,00 EUR",['Como nuevo'], 
175,RIÑONERA BOLSILLO CADENA,"15,00 EUR",['Nuevo con etiquetas'], 
176,JEANS TRF SUPER WIDE LEG BRILLOS,"60,00 EUR",['Nuevo con etiquetas'], 2024
177,BLAZER CUELLO SMOKING,"30,00 EUR",['Como nuevo'], 2023
178,MONO CORTO HALTER,"15,00 EUR",['Nuevo con etiquetas'], 
179,TOP PUNTO POINTELLE,"12,00 EUR",['Como nuevo'], 2023
180,JERSEY PUNTO CANALÉ,"5,00 EUR",['Como nuevo'], 
181,PANTALÓN FULL LENGTH,"23,99 EUR",['Nuevo con etiquetas'], 2023
182,CINTURÓN FAJÍN PIEL LAZADA,"49,95 EUR",['Nuevo con etiquetas'], 2023
183,FALDA MIDI RECTA LOW RISE,"7,5 EUR",['Como nuevo'], 2022
184,VESTIDO DRAPEADO LIMITED EDITION,"15,00 EUR",['Nuevo con etiquetas'], 
185,ZAPATO TACÓN ANCHO DESTALONADO,"15,99 EUR",['Bueno'], 2023
186,SANDALIA TACÓN HEBILLAS,"30,00 EUR",['Nuevo con etiquetas'], 2023
187,MONO FALDA PANTALÓN NUDO,"10,00 EUR",['Como nuevo'], 
188,TOP CROP SATINADO,"15,00 EUR",['Nuevo con etiquetas'], 
189,FALDA FRUNCE FRONTAL,"17,00 EUR",['Como nuevo'], 
190,VESTIDO FLUIDO,"15,00 EUR",['Como nuevo'], 
191,ZAPATO TACÓN DESTALONADO NUDOS,"15,95 EUR",['Como nuevo'], 
192,BOLSO CITY MIDI ESTAMPADO ANIMAL,"10,00 EUR",['Como nuevo'], 
193,VESTIDO LENCERO SATINADO,"15,00 EUR",['Como nuevo'], 2021
194,VESTIDO TUL HALTER FLECOS,"15,00 EUR",['Nuevo con etiquetas'], 
195,BOLSO BANDOLERA HEBILLA ESTAMPADO ANIMAL,"12,00 EUR",['Como nuevo'], 
196,PENDIENTE CORAZÓN,"10,00 EUR",['Como nuevo'], 
197,VESTIDO MINI LAZO,"23,00 EUR",['Nuevo con etiquetas'], 
198,SANDALIA TACÓN PIEL TIRAS,"25,00 EUR",['Como nuevo'], 
199,PAÑUELO SATINADO ESTAMPADO,"7,00 EUR",['Nuevo con etiquetas'], 
200,FALDA MINI DRAPEADA,"30,00 EUR",['Nuevo con etiquetas'], 
201,JEANS SUPER WIDE LEG,"10,00 EUR",['Como nuevo'], 
202,TOP PUNTO TIRANTES,"15,00 EUR",['Nuevo con etiquetas'], 
203,FALDA MINI EFECTO PIEL,"5,00 EUR",['Como nuevo'], 
204,BOLSO DE HOMBRO SERRAJE,"30,00 EUR",['Como nuevo'], 2022
205,SHORTS CONTRASTE,"10,00 EUR",['Como nuevo'], 
206,ZUECO PIEL HEBILLAS,"30,00 EUR",['Como nuevo'], 
207,TOP CROP PUNTO,"15,00 EUR",['Como nuevo'], 2023
208,CUERPO SATINADO ABERTURA ESPALDA,"14,00 EUR",['Como nuevo'], 2023
209,VESTIDO DELICATE HOMBROS DESCUBIERTOS,"10,00 EUR",['Nuevo con etiquetas'], 2023
210,SHOPPER MACRAMÉ ASA BAMBÚ,"13,00 EUR",['Nuevo con etiquetas'], 
211,CAMISETA TACTO SUAVE,"10,00 EUR",['Nuevo con etiquetas'], 
212,MONO POPELÍN CUADRO VICHY,"20,00 EUR",['Como nuevo'], 
213,VESTIDO CUADRO VICHY,"19,00 EUR",['Como nuevo'], 
214,CAMISETA SIMBA ©DISNEY,"10,00 EUR",['Como nuevo'], 2021
215,VESTIDO PUNTO CROCHET,"70,00 EUR",['Como nuevo'], 2023
216,SANDALIA PLANA ABALORIOS,"30,00 EUR",['Nuevo con etiquetas'], 
217,VESTIDO CROCHET,"18,00 EUR",['Como nuevo'], 
218,BOLSO SHOPPER PAPEL,"8,00 EUR",['Bueno'], 2023
219,FALDA CROCHET,"23,00 EUR",['Como nuevo'], 2023
220,GORRO CROCHET RAYAS,"12,00 EUR",['Nuevo con etiquetas'], 2024
221,CAMISETA POLO RIB,"7,00 EUR",['Bueno'], 
222,FALDA MINI CROCHET,"12,00 EUR",['Como nuevo'], 
223,FALDA ESTAMPADO ANIMAL,"25,00 EUR",['Nuevo con etiquetas'], 2023
224,TOP BÁSICO PUNTO EXTRAFINO,"5,00 EUR",['Como nuevo'], 2022
225,SANDALIA TACÓN PLATAFORMA ESTAMPADO ANIMAL,"29,95 EUR",['Como nuevo'], 
226,CHAQUETA PUNTO ESTAMPADO ANIMAL,"28,00 EUR",['Bueno'], 
227,VESTIDO PUNTO CALADOS,"25,00 EUR",['Como nuevo'], 
228,CHALECO PUNTO JACQUARD,"25,00 EUR",['Como nuevo'], 
229,FALDA TUBO ESTAMPADO ANIMAL,"15,00 EUR",['Como nuevo'], 
230,FALDA ESTAMPADA NUDO,"5,00 EUR",['Nuevo con etiquetas'], 
231,VESTIDO MIDI ABALORIOS,"30,00 EUR",['Nuevo con etiquetas'], 2023
232,VESTIDO PUNTO COMBINADO,"20,00 EUR",['Nuevo con etiquetas'], 
233,JEANS Z1975 RECTOS TIRO ALTO,"16,00 EUR",['Como nuevo'], 2023
234,MINI TOP NUDO DELANTERO,"10,00 EUR",['Como nuevo'], 
235,PANTALÓN WIDE LEG SATINADO,"25,00 EUR",['Como nuevo'], 
