,index,product_name,price,made_in,standard_soc_ma,algodon,poliester,elastano,elastomultiester,liocel,lino,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,rec_poliester,rec_cotton,cotton_OCS,certificacion,porcentaje,intertek
251,2,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.15,0.6,OCS,0.6,True
252,3,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.15,0.6,OCS,0.6,True
253,4,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.5,OCS,0.5,True
254,5,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
255,6,Jean Temporada,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
256,7,Jean Temporada,25.95,Pakistan,True,0.95,,0.01,0.04,,,algodon,3,0.95,elastomultiester,0.04,OCS,RCS,,,0.2,0.51,OCS,0.51,True
257,8,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
258,9,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
259,10,Jean Temporada,29.95,Turquia,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,None,None,,,,,,,False
260,11,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
261,12,Jean Rectos,39.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
262,13,Jean Temporada,39.95,Turquia,True,0.62,,,,0.38,,algodon,2,0.62,liocel,0.38,OCS,RCS,,,0.2,0.42,OCS,0.42,True
263,14,Jean Rectos,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,OCS,RCS,,,0.15,0.5,OCS,0.5,True
264,15,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
265,16,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
266,17,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
267,18,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
268,19,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
269,20,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
270,21,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
271,22,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
272,23,Jean Temporada,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
273,24,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,0.6,OCS,0.6,True
274,25,Jean Rectos,59.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
275,26,Jean Temporada,35.95,Turquia,True,0.42,,,,0.58,,liocel,2,0.58,algodon,0.42,None,None,,,,,,,False
276,27,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.15,,OCS,,True
277,28,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
278,29,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
279,30,Jean Temporada,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
280,31,Jean Temporada,25.95,Turquia,True,0.92,0.06,0.02,,,,algodon,3,0.92,poliester,0.06,OCS,RCS,,,0.25,0.67,OCS,0.67,True
281,32,Jean Temporada,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
