,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
391,152,Calzado,"39,95                                          ","19,99                                          ",Bangladesh,True,,0.4,,,,60,,,,,,,,,,,,,poliuretano,2,0.6,poliester,0.4,,,,,,,,,,,,,,,False
395,153,Calzado,"35,95                                          ","35,95                                          ",Vietnam,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
396,155,Jeans,"29,95                                          ","15,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,RCS,,0.5,,0.05,,,,OCS,,RCS,True
400,157,Pantalon,"29,95                                          ","15,99                                          ",Marruecos,True,,,,0.85,,,,,,,,,0.15,,,,,,viscosa,2,0.85,poliamida,0.15,,,,,,,,,,,,,,,False
401,158,Vestido,"29,95                                          ","17,99                                          ",Marruecos,True,,0.92,0.08,,,,,,,,,,,,,,,,poliester,2,0.92,elastano,0.08,,,,RCS,,,0.92,,,,,,,,True
407,160,Camisa,"29,95                                          ","17,99                                          ",Marruecos,True,,,,,,,,,,,,1.0,,,,,,,liocel,1,1.0,,,,,,,,,,,,,,,,,False
408,163,Blazer,"35,95                                          ","19,99                                          ",Camboya,True,0.21,,,0.55,,,,,0.24,,,,,,,,,,viscosa,3,0.55,lino,0.24,algodon,21.0,,RCS,,,,0.21,,,,,,RCS,True
410,165,Falda,"22,95                                          ","12,99                                          ",Turquia,True,,0.64,0.02,0.34,,,,,,,,,,,,,,,poliester,3,0.64,viscosa,0.34,elastano,2.0,,RCS,,,0.64,,,,,,,,True
414,166,Chaqueta,"39,95                                          ","22,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
416,167,Jeans,"29,95                                          ","17,99                                          ",Pakistan,True,0.92,0.06,0.02,,,,,,,,,,,,,,,,algodon,3,0.92,poliester,0.06,elastano,2.0,,,,,,,,,,,,,False
417,168,Blazer,"69,95                                          ","39,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
418,169,Calzado,"29,95                                          ","17,99                                          ",Vietnam,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
419,173,Pantalon,"22,95                                          ","12,99                                          ",Turquia,True,,0.75,0.06,0.19,,,,,,,,,,,,,,,poliester,3,0.75,viscosa,0.19,elastano,6.0,,RCS,,,0.75,,,,0.06,,,RCS,True
429,175,Vestido,"29,95                                          ","17,99                                          ",Turquia,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,,,1.0,,,,,,OCS,,,True
430,176,Other,"15,95                                          ","9,99                                           ",Bangladesh,True,,,,0.8,,,,,,,,,0.2,,,,,,viscosa,2,0.8,poliamida,0.2,,,,,,,,,,,,,,,False
434,177,Calzado,"35,95                                          ","22,99                                          ",China,True,,,,,,10,35,,,,,,0.55,,,,,,poliamida,3,0.55,piel,0.35,poliuretano,10.0,,,,,,,,,,,,,False
435,178,Jeans,"29,95                                          ","17,99                                          ",Tunez,True,0.82,0.17,0.01,,,,,,,,,,,,,,,,algodon,3,0.82,poliester,0.17,elastano,1.0,OCS,RCS,,0.82,0.17,,,,,OCS,,,True
436,179,Other,"59,95                                          ","29,99                                          ",Marruecos,True,,,,,,,100,,,,,,,,,,,,piel,1,1.0,,,,,,,,,,,,,,,,,False
437,185,Vestido,"35,95                                          ","17,99                                          ",Marruecos,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
