,index,product_name,price,made_in,standard_soc_ma,algodon,poliamida,elastano,lino,viscosa,poliester,modal,otras,liocel,fibra,acrilico,lana,seda,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,intertek
102,102,Camiseta Algodon Basica,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
103,103,Camiseta Algodon Enzimatico,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
104,104,Camiseta Algodon Basica,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
105,105,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
106,106,Camiseta Algodon Basica,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
107,107,Camiseta Poliamida,12.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
108,108,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
109,109,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
110,110,Camiseta Rib,9.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
111,111,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
112,112,Camiseta Rib,4.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
113,113,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
114,114,Camiseta Temporada,12.95,Bangladesh,True,,,,,1.0,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,None,,False
115,115,Camiseta Rib,12.95,Marruecos,True,0.42,,0.02,,,0.56,,0.05,,,,,,poliester,4,0.56,algodon,0.42,,RCS,algodon ,,0.56,0.42,,,,OCS,,True
116,116,Camiseta Rib,9.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
117,117,Camiseta Temporada,12.95,Marruecos,True,0.96,,0.04,,,,,,,,,,,algodon,2,0.96,elastano,0.04,,,,,,,,,,None,,False
118,118,Camiseta Temporada,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,RCS,poliester ,,0.32,0.44,,,,OCS,,True
119,119,Camiseta Temporada,12.95,Bangladesh,True,,,,,1.0,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,None,,False
120,120,Camiseta Rib,8.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
